Year,Citations Per Year,APT,Rank,ga_gender
2020,15,0.05,2026,male
2020,5.5,0.5,916,female
2020,8,0.95,134,female
2020,1.5,0.05,379,male
2020,0,0.05,11474,male
2020,4,0.5,660,male
2020,1.5,0.25,275,male
2020,10,0.75,287,male
2020,4,0.75,846,female
2020,0,0.05,6353,female
2020,6,0.75,2216,male
2020,3,0.25,3130,male
2020,1.5,0.25,1849,male
2020,12,0.95,650,male
2020,13,0.95,484,male
2020,2,0.05,1122,male
2020,13,0.95,134,male
2020,1.5,0.25,3078,female
2020,9.5,0.95,73,male
2020,0,0.05,9343,unknown
2020,1,0.5,779,male
2020,3.5,0.05,916,male
2020,1.5,0.5,2204,male
2020,3.5,0.05,2908,male
2020,12,0.95,203,male
2020,3,0.75,963,female
2020,2,0.5,2528,female
2020,8,0.75,246,male
2020,0.5,0.05,5854,female
2020,0.5,0.5,5078,male
2020,0,0.05,4434,female
2020,2.5,0.5,916,male
2020,1.5,0.5,390,female
2020,48,0.95,313,male
2020,1,0.25,3966,female
2020,2.5,0.25,1771,female
2020,1,0.05,3130,female
2020,2.5,0.05,3564,male
2020,1.5,0.5,134,unknown
2020,0,0.05,660,female
2020,0.5,0.25,4330,male
2020,0.5,0.25,779,female
2020,1.5,0.75,779,female
2020,3,0.05,12980,female
2020,7,0.25,946,female
2020,4.5,0.05,2261,male
2020,1.5,0.25,956,male
2020,8.5,0.05,147,female
2020,4,0.25,2216,male
2020,7,0.5,916,female
2020,2.5,0.75,3642,female
2020,0.5,0.5,2340,unknown
2020,4,0.05,1247,male
2020,7,0.5,134,male
2020,1.5,0.05,4989,female
2020,4.5,0.95,1063,male
2020,1,0.05,2384,male
2020,1.5,0.25,3130,male
2020,11,0.25,299,unknown
2020,1.5,0.25,2665,male
2020,3.5,0.5,4183,male
2020,0.5,0.25,2153,male
2020,1.5,0.25,2497,female
2020,5,0.5,754,female
2020,4.5,0.75,961,female
2020,3,0.25,4114,male
2020,36.5,0.95,73,male
2020,2,0.05,2335,female
2020,1,0.5,203,male
2020,2.5,0.05,577,male
2020,0.5,0.05,2204,female
2020,3,0.75,2377,female
2020,4,0.05,379,male
2020,1.5,0.05,642,male
2020,4.5,0.95,1136,male
2020,2,0.25,2216,unknown
2020,0.5,0.05,8421,male
2020,1,0.5,5078,male
2020,1,0.25,779,male
2020,0,0.05,0,male
2020,4.5,0.25,3130,male
2020,4,0.75,628,female
2020,1.5,0.5,4641,male
2020,6,0.75,3078,male
2020,2,0.5,1642,male
2020,12.5,0.95,73,male
2020,2,0.5,4074,female
2020,3,0.25,11625,male
2020,8.5,0.95,916,female
2020,2,0.75,6146,female
2020,1,0.25,2408,male
2020,1.5,0.25,4145,male
2020,0.5,0.05,723,male
2020,300,0.95,379,male
2020,0.5,0.25,3642,female
2020,0.5,0.05,2384,male
2020,8,0.95,2057,male
2020,5,0.75,0,male
2020,1.5,0.25,3022,male
2020,0,0.05,9343,male
2020,4,0.25,1003,female
2020,0,0.05,6443,female
2020,0.5,0.05,779,female
2020,8.5,0.25,1347,female
2020,6.5,0.05,2448,male
2020,1,0.05,3374,female
2020,0,0.05,1056,female
2020,2.5,0.75,916,female
2020,2,0.05,2744,female
2020,7.5,0.25,299,male
2020,0.5,0.25,6878,female
2020,19.5,0.95,351,male
2020,47,0.95,134,male
2020,10,0.75,72,male
2020,5.5,0.5,287,
2020,4,0.75,669,male
2020,2.5,0.5,6146,
2020,1,0.5,669,female
2020,0,0.05,3797,male
2020,2.5,0.5,2562,female
2020,1.5,0.25,5600,male
2020,1.5,0.25,1371,female
2020,1.5,0.25,1849,female
2020,2,0.75,1625,male
2020,0.5,0.25,0,female
2020,3,0.5,6409,male
2020,4,0.25,0,
2020,0.5,0.5,916,male
2020,3,0.25,642,female
2020,2,0.75,4434,male
2020,8.5,0.75,1089,unknown
2020,1,0.5,669,female
2020,0,0.05,6244,male
2020,4.5,0.05,916,male
2020,0,0.05,4434,male
2020,3.5,0.5,0,male
2020,9.5,0.05,219,male
2020,1.5,0.5,3642,male
2020,4,0.5,299,male
2020,20,0.95,609,male
2020,55,0.95,19,female
2020,0,0.05,5049,female
2020,2.5,0.25,9055,male
2020,1,0.25,1045,female
2020,0.5,0.05,8478,female
2020,0.5,0.05,1778,female
2020,2,0.25,3167,female
2020,1,0.25,11081,male
2020,3,0.05,1478,female
2020,5.5,0.05,3891,female
2020,5.5,0.25,1391,male
2020,6,0.5,767,female
2020,4,0.05,881,male
2020,0.5,0.25,2216,female
2020,5.5,0.95,1071,male
2020,0,0.05,1903,female
2020,2,0.5,810,male
2020,3.5,0.05,242,male
2020,7.5,0.25,197,male
2020,2,0.5,545,female
2020,3,0.75,2994,male
2020,4,0.5,1778,male
2020,2,0.5,2894,male
2020,3,0.5,3965,male
2020,0.5,0.05,1771,male
2020,4,0.75,0,male
2020,2,0.05,2807,female
2020,4,0.25,0,male
2020,2.5,0.75,5575,male
2020,3.5,0.75,609,male
2020,0.5,0.25,650,male
2020,1,0.25,134,male
2020,0,0.05,1920,male
2020,7,0.05,246,male
